,,0
E5_Ret,E8_Ret,1.0
E5_Ret,E8_off,0.6005375873801168
E5_Ret,E8_Svc,0.6526262880821276
E5_Ret,E8_Ent,0.5017307251510819
E5_Ret,E8_Hlth,0.6464840454266312
E5_Ret,E_LowWageWk,0.8701106779268637
E5_Ret,E_MedWageWk,0.8422177915212677
E5_Ret,E_HiWageWk,0.6512259922143383
E5_Off,TotEmp,0.7788821628757254
E5_Off,E5_Ret,0.5512702808817289
E5_Off,E5_Off,1.0
E5_Off,E5_Svc,0.707870188473919
E5_Off,E8_Ret,0.5512702808817289
E5_Off,E8_off,0.8907188833080139
E5_Off,E8_Svc,0.7133677689869109
E5_Off,E8_Hlth,0.5433081651323056
E5_Off,E8_Pub,0.5814204012650507
E5_Off,E_LowWageWk,0.6318592688082033
E5_Off,E_MedWageWk,0.6282644212145693
E5_Off,E_HiWageWk,0.798315712871256
E5_Ind,TotEmp,0.6331271443984505
E5_Ind,E5_Ind,1.0
E5_Ind,E8_Ind,1.0
E5_Ind,E_MedWageWk,0.5755725356563197
E5_Ind,E_HiWageWk,0.6208621226270596
E5_Svc,TotPop,0.5475794253841262
E5_Svc,HH,0.5745037754886927
E5_Svc,AutoOwn1,0.618741503156663
E5_Svc,Workers,0.5789773346847289
E5_Svc,R_LowWageWk,0.5061775114142785
E5_Svc,R_HiWageWk,0.58793925885946
E5_Svc,TotEmp,0.8888771309117117
E5_Svc,E5_Ret,0.7325065676804817
E5_Svc,E5_Off,0.707870188473919
E5_Svc,E5_Svc,1.0
E5_Svc,E8_Ret,0.7325065676804817
E5_Svc,E8_off,0.7704707297201778
E5_Svc,E8_Svc,0.8924803210254095
E5_Svc,E8_Ed,0.6645175454020877
E5_Svc,E8_Hlth,0.8355030340103039
E5_Svc,E_LowWageWk,0.7897159364264413
E5_Svc,E_MedWageWk,0.7679243248413602
E5_Svc,E_HiWageWk,0.852343286342655
E5_Svc,D3A,0.5949980530597967
E5_Svc,D3AAO,0.5599649868928992
E5_Svc,D3APO,0.5677132279274212
E5_Svc,D3B,0.5313631215783196
E5_Svc,D3BAO,0.5105603792678901
E5_Svc,D3BPO3,0.6035763337877584
E5_Svc,D5CEI,0.5035095696352123
E5_Svc,D3B_Ranked,0.5832522760836445
E5_Svc,NatWalkInd,0.5757099655650303
E5_Ent,CountHU,0.5152959789879485
E5_Ent,TotEmp,0.6173954528845503
E5_Ent,E5_Ret,0.5017307251510819
E5_Ent,E5_Ent,1.0
E5_Ent,E8_Ret,0.501730725151082
E5_Ent,E8_Ent,1.0
E5_Ent,E_LowWageWk,0.666630084436517
E5_Ent,E_MedWageWk,0.653380995819854
E8_Ret,TotPop,0.6933918395576848
E8_Ret,HH,0.7305310067449129
E8_Ret,AutoOwn1,0.6548428368393016
E8_Ret,AutoOwn2p,0.5956708927544075
E8_Ret,Workers,0.6951804513508508
E8_Ret,R_LowWageWk,0.679057479891639
E8_Ret,R_MedWageWk,0.6058471927234561
E8_Ret,R_HiWageWk,0.6146528500483753
E8_Ret,TotEmp,0.8215688107506605
E8_Ret,E5_Ret,1.0
E8_Ret,E5_Off,0.5512702808817289
E8_Ret,E5_Svc,0.7325065676804817
E8_Ret,E5_Ent,0.501730725151082
E8_Ret,E8_Ret,1.0
E8_Ret,E8_off,0.6005375873801168
E8_Ret,E8_Svc,0.6526262880821276
E8_Ret,E8_Ent,0.5017307251510819
E8_Ret,E8_Hlth,0.6464840454266312
E8_Ret,E_LowWageWk,0.8701106779268637
E8_Ret,E_MedWageWk,0.8422177915212677
E8_Ret,E_HiWageWk,0.6512259922143383
E8_off,R_HiWageWk,0.5083768737290593
E8_off,TotEmp,0.7897904728605382
E8_off,E5_Ret,0.6005375873801168
E8_off,E5_Off,0.8907188833080139
E8_off,E5_Svc,0.7704707297201778
E8_off,E8_Ret,0.6005375873801168
E8_off,E8_off,1.0
E8_off,E8_Svc,0.7942444658924269
E8_off,E8_Hlth,0.5933853389415085
E8_off,E_LowWageWk,0.6422945909190917
E8_off,E_MedWageWk,0.626996407998255
E8_off,E_HiWageWk,0.8147273903266203
E8_off,D1C,0.5475004109367027
E8_off,D1C5_OFF,0.5019044685116993
E8_off,D1C5_SVC,0.5442602900997779
E8_off,D1C5_ENT,0.5286243074962923
E8_off,D1C8_OFF,0.5171547574034817
E8_off,D1C8_SVC,0.5349357720692913
E8_off,D1C8_ENT,0.5286243074962923
E8_off,D1C8_HLTH,0.5103318517191375
E8_off,D1D,0.526483740513279
E8_off,D3A,0.5203565971603951
E8_off,D3AAO,0.5352102484028726
E8_off,D3BAO,0.5369728626998193
E8_off,NatWalkInd,0.5196042845995245
E8_Ind,TotEmp,0.6331271443984505
E8_Ind,E5_Ind,1.0
E8_Ind,E8_Ind,1.0
E8_Ind,E_MedWageWk,0.5755725356563197
E8_Ind,E_HiWageWk,0.6208621226270596
E8_Svc,HH,0.5194957226178774
E8_Svc,AutoOwn1,0.5330779791977137
E8_Svc,Workers,0.5527013516384687
E8_Svc,R_HiWageWk,0.6027035529685735
E8_Svc,TotEmp,0.8316061347390892
E8_Svc,E5_Ret,0.6526262880821276
E8_Svc,E5_Off,0.7133677689869109
E8_Svc,E5_Svc,0.8924803210254095
E8_Svc,E8_Ret,0.6526262880821276
E8_Svc,E8_off,0.7942444658924269
E8_Svc,E8_Svc,1.0
E8_Svc,E8_Hlth,0.5869157940968136
E8_Svc,E_LowWageWk,0.6758155748648038
E8_Svc,E_MedWageWk,0.6748563284568582
E8_Svc,E_HiWageWk,0.8494759643972694
E8_Svc,D3A,0.5596929133564456
E8_Svc,D3AAO,0.5659227121980623
E8_Svc,D3APO,0.5218107102863984
E8_Svc,D3BAO,0.5462343460861655
E8_Svc,D3BPO3,0.5729103289111195
E8_Svc,D3B_Ranked,0.5340275321420271
E8_Svc,NatWalkInd,0.5409382809648665
E8_Ent,CountHU,0.5152959789879485
E8_Ent,TotEmp,0.6173954528845503
E8_Ent,E5_Ret,0.5017307251510819
E8_Ent,E5_Ent,1.0
E8_Ent,E8_Ret,0.5017307251510819
E8_Ent,E8_Ent,1.0
E8_Ent,E_LowWageWk,0.666630084436517
E8_Ent,E_MedWageWk,0.653380995819854
E8_Ed,TotEmp,0.5516704961778719
E8_Ed,E5_Svc,0.6645175454020877
E8_Ed,E8_Ed,1.0
E8_Ed,E_LowWageWk,0.5492952124693128
E8_Ed,E_HiWageWk,0.5053692735892075
E8_Hlth,AutoOwn1,0.5393539249702021
E8_Hlth,TotEmp,0.7138929175226182
E8_Hlth,E5_Ret,0.6464840454266312
E8_Hlth,E5_Off,0.5433081651323056
E8_Hlth,E5_Svc,0.8355030340103039
E8_Hlth,E8_Ret,0.6464840454266312
E8_Hlth,E8_off,0.5933853389415085
E8_Hlth,E8_Svc,0.5869157940968136
E8_Hlth,E8_Hlth,1.0
E8_Hlth,E_LowWageWk,0.685084818858201
E8_Hlth,E_MedWageWk,0.6820320068667969
E8_Hlth,E_HiWageWk,0.6249183752508912
E8_Hlth,D3A,0.5389210491425147
E8_Hlth,D3APO,0.519508843744312
E8_Hlth,D3BPO3,0.5075015528887605
E8_Hlth,D5CRI,0.5351216750103138
E8_Hlth,D5CEI,0.5401219271523129
E8_Hlth,D3B_Ranked,0.5431635851887209
E8_Hlth,NatWalkInd,0.5047913773448964
E8_Pub,E5_Off,0.5814204012650507
E8_Pub,E8_Pub,1.0
E_LowWageWk,TotPop,0.656153488053716
E_LowWageWk,CountHU,0.5250044150870656
E_LowWageWk,HH,0.6885893625828878
